rho,ic_spread,concentration,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
1.0,1.0,0.0,9,100,0.01,2,60.147783936045144,1.0432735987558635,0.970254252738717,2.8617409445043527,18,0.14078813146299785,10,0
1.0,1.0,0.0,9,100,0.01,3,22.516657318591918,1.5945590769388838,0.6424487909356681,6.865825144403685,14,0.05347270438101115,6,0
1.0,1.0,0.0,9,100,0.01,4,44.59793769210496,1.0190001070764887,0.45817697535991125,2.6082872464115017,14,0.06712251948761934,6,0
1.0,1.0,0.0,9,100,0.01,5,43.36122000799778,1.2778775793527606,0.9536045245860902,4.260679859789376,11,0.01594893910251087,3,0
0.75,0.75,0.25,9,100,0.01,0,28.712196926665392,0.8206677586514081,0.6370377992723345,2.5898859814008777,13,0.22580481858067322,5,0
0.75,0.75,0.25,9,100,0.01,1,32.55951589183831,0.8325555914776713,0.514756971325136,2.5488774355231913,12,0.024122908868610626,4,0
0.75,0.75,0.25,9,100,0.01,2,46.10512120668154,0.966155182049084,0.7434116318394388,3.1162411598469673,17,0.1579991483894103,9,0
0.75,0.75,0.25,9,100,0.01,3,26.14257801244827,1.547043857200293,0.7339519696928515,5.0300285144839005,14,0.06705215417176504,6,0
0.75,0.75,0.25,9,100,0.01,4,51.1016488628854,0.9522252229674747,0.44151775069927507,2.3337883145059233,14,0.08266488158227633,6,0
0.75,0.75,0.25,9,100,0.01,5,43.746942321642145,1.2991066744036377,1.0104093906668365,4.4612622679918825,12,0.022218479340168393,4,0
0.5,0.5,0.5,9,100,0.01,0,40.07569358603383,1.3953412554164826,0.6229514858102428,8.515028173476505,15,0.21392580662594352,7,0
0.5,0.5,0.5,9,100,0.01,1,33.0449186655364,2.1425568340417454,0.6528728222246333,10.775897698944302,14,0.025475755829416132,6,0
0.5,0.5,0.5,9,100,0.01,2,38.513966171423206,1.0323950386543936,0.7357108104373569,4.6319167956104,17,0.16546451565578865,9,0
0.5,0.5,0.5,9,100,0.01,3,43.05759505709009,1.6459035977600607,0.7583878289646772,9.572054829382967,13,0.09619440918955012,5,0
0.5,0.5,0.5,9,100,0.01,4,72.24895065821386,0.9826932781082495,0.41150298344564573,2.700154719216494,14,0.11798166339643172,6,0
0.5,0.5,0.5,9,100,0.01,5,49.33777394914127,1.3186792235944427,0.8578697440658722,4.663551398469528,11,0.026258479749056853,3,0
0.25,0.25,0.75,9,100,0.01,0,74.74262674304292,1.5100968766019056,0.6274186457543238,8.747777763464313,16,0.18987002408953824,8,0
0.25,0.25,0.75,9,100,0.01,1,36.57278598239737,14.081686085457124,0.538854109012594,136.1154376289931,12,0.020610095730182524,4,0
